i1	i10	i11	i12	i13	i14	i15	i16	i2	i3	i4	i5	i6	i7	i8	i9
OTU_1319_ITS	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_1335_ITS	0	1	3	1	1	3	0	0	3	0	1	0	2	0	3	1
OTU_1342_ITS	0	0	0	1	2	0	2	2	0	0	0	1	0	0	1	1
OTU_1347_ITS	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_1350_ITS	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
OTU_1373_ITS	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
OTU_1435_ITS	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_1438_ITS	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_1444_ITS	3	0	1	3	0	4	0	0	0	0	2	1	0	0	1	4
OTU_1476_ITS	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_1490_ITS	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_1496_ITS	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_1529_ITS	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1547_ITS	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_1550_ITS	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
OTU_1570_ITS	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_1574_ITS	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_1592_ITS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_1594_ITS	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1617_ITS	4	0	10	10	5	11	2	9	0	0	34	4	0	1	15	13
OTU_1620_ITS	0	2	0	0	8	0	0	0	0	0	0	0	0	0	1	0
OTU_1633_ITS	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_1654_ITS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_1667_ITS	29	18	23	23	27	31	20	26	16	26	31	25	22	24	33	25
OTU_1671_ITS	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_1679_ITS	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU_1695_ITS	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	1
OTU_1699_ITS	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_1710_ITS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1712_ITS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1731_ITS	2	0	1	0	0	1	1	0	2	1	0	1	0	0	0	1
OTU_1753_ITS	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_1792_ITS	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_1793_ITS	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_1794_ITS	6	10	7	6	5	4	8	2	6	2	5	8	7	4	2	6
OTU_1798_ITS	83	108	80	77	89	87	126	95	122	78	235	68	100	86	88	119
OTU_1803_ITS	0	0	1	2	1	0	0	0	0	2	0	2	0	0	0	0
OTU_1812_ITS	0	0	0	0	1	0	1	0	0	0	0	0	0	5	0	2
OTU_1816_ITS	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_1818_ITS	0	0	0	0	0	0	3	1	0	0	0	0	2	0	2	1
OTU_182_ITS	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_1823_ITS	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_1837_ITS	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_1855_ITS	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0
OTU_1856_ITS	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
OTU_1874_ITS	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0
OTU_1875_ITS	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
OTU_1877_ITS	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
OTU_1881_ITS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_1893_ITS	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_1902_ITS	1	8	2	18	7	9	5	2	2	2	6	1	9	2	17	16
OTU_1907_ITS	1	1	0	0	1	0	1	1	1	0	0	1	2	0	0	0
OTU_1944_ITS	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0
OTU_1947_ITS	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_1948_ITS	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
OTU_1949_ITS	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1
OTU_1956_ITS	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1
OTU_1957_ITS	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_1959_ITS	1	5	4	2	2	1	3	1	0	1	1	0	1	2	2	1
OTU_1963_ITS	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
OTU_1969_ITS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1971_ITS	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_1974_ITS	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
OTU_1975_ITS	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_1981_ITS	1	0	0	1	0	0	1	0	0	0	2	0	3	1	2	0
OTU_1983_ITS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2008_ITS	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_2011_ITS	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
OTU_2016_ITS	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_2017_ITS	0	3	1	0	3	2	1	3	0	1	0	1	3	2	0	3
OTU_2024_ITS	5	8	6	5	5	6	13	4	5	10	5	3	10	4	13	3
OTU_2036_ITS	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
OTU_2072_ITS	0	0	2	0	1	0	1	0	0	0	0	1	1	0	0	0
OTU_2073_ITS	1	0	0	2	1	0	0	1	0	0	1	1	0	0	0	2
OTU_2075_ITS	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_2079_ITS	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_2100_ITS	5	5	7	5	6	7	11	5	8	10	10	9	12	11	6	17
OTU_2103_ITS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_2104_ITS	0	0	2	1	0	3	1	0	2	0	0	1	0	1	1	3
OTU_2109_ITS	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
OTU_2117_ITS	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
OTU_2118_ITS	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_212_ITS	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
OTU_2121_ITS	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_2125_ITS	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_2127_ITS	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_2130_ITS	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0
OTU_2139_ITS	3	5	1	1	0	8	0	0	2	4	2	1	1	1	8	3
OTU_2146_ITS	0	1	2	0	1	0	2	2	0	0	0	1	2	0	1	1
OTU_2167_ITS	1	1	1	0	1	1	0	1	0	0	1	0	0	1	0	2
OTU_2176_ITS	1	0	0	1	0	4	1	2	0	0	0	0	0	1	0	0
OTU_2177_ITS	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_2197_ITS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_2198_ITS	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2205_ITS	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_2207_ITS	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_2220_ITS	17	25	11	16	19	7	16	10	9	13	15	22	17	32	17	18
OTU_2226_ITS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2264_ITS	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2280_ITS	0	1	0	0	0	4	0	2	0	0	0	0	0	0	1	0
OTU_2290_ITS	0	2	0	2	1	0	1	1	2	1	0	0	1	2	1	2
OTU_2301_ITS	22	32	20	33	18	20	30	35	21	17	21	39	28	38	31	32
OTU_2303_ITS	8	1	2	4	3	4	3	0	1	6	4	2	4	4	3	5
OTU_2310_ITS	0	3	0	1	0	0	0	1	0	1	1	0	1	3	2	0
OTU_2311_ITS	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
OTU_2320_ITS	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_2325_ITS	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_2333_ITS	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_2335_ITS	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1
OTU_2342_ITS	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2346_ITS	0	0	0	0	0	0	1	0	1	0	1	1	0	0	2	0
OTU_2359_ITS	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0
OTU_2365_ITS	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0
OTU_2366_ITS	0	0	1	1	0	1	0	1	0	0	1	2	0	0	0	0
OTU_2368_ITS	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_2373_ITS	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_2375_ITS	5	3	3	7	4	0	3	1	4	1	3	3	5	3	3	6
OTU_2377_ITS	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0
OTU_2379_ITS	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_2380_ITS	2	1	0	2	2	1	1	1	1	0	0	1	4	4	1	2
OTU_2392_ITS	5	4	2	3	1	1	1	1	6	5	7	2	5	5	1	3
OTU_2396_ITS	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_2402_ITS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2403_ITS	0	1	0	0	1	0	0	0	1	0	0	1	3	0	0	2
OTU_2407_ITS	3	1	3	1	4	2	1	1	2	1	1	0	2	1	1	2
OTU_2412_ITS	0	2	0	3	1	4	0	2	1	2	4	1	2	2	1	1
OTU_2417_ITS	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_2420_ITS	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_2423_ITS	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_2428_ITS	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_2429_ITS	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_2430_ITS	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
OTU_2439_ITS	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
OTU_2446_ITS	1	0	0	0	1	1	0	1	1	1	2	1	0	1	2	0
OTU_2464_ITS	0	2	0	8	1	1	2	2	1	4	0	3	2	0	4	3
OTU_2466_ITS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2474_ITS	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_2508_ITS	1	5	5	6	6	1	6	2	4	5	7	9	2	5	2	2
OTU_2510_ITS	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_2515_ITS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_2529_ITS	4	3	1	1	2	0	2	2	0	2	2	1	2	4	9	2
OTU_2539_ITS	2	2	2	0	1	0	0	0	0	1	1	2	1	0	3	1
OTU_2542_ITS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_2556_ITS	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0
OTU_2557_ITS	0	0	0	1	0	0	0	2	1	0	1	0	1	1	0	0
OTU_2564_ITS	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_2570_ITS	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2589_ITS	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_2592_ITS	0	1	0	0	0	0	0	0	0	0	1	1	4	0	3	1
OTU_2597_ITS	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_2607_ITS	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2609_ITS	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_2615_ITS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2621_ITS	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
OTU_2624_ITS	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_2630_ITS	1	3	0	2	3	4	3	2	3	7	6	2	16	10	1	1
OTU_2631_ITS	2	7	6	5	10	6	6	7	7	5	5	4	9	10	5	5
OTU_2632_ITS	3	0	3	2	2	0	0	1	6	2	2	0	3	3	0	1
OTU_2643_ITS	0	1	0	0	0	0	0	0	1	0	0	0	1	6	0	1
OTU_2658_ITS	51	75	56	60	51	39	65	56	49	64	54	36	60	55	50	37
OTU_2660_ITS	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2661_ITS	0	0	1	0	1	0	0	1	0	1	1	0	0	0	0	0
OTU_2662_ITS	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
OTU_2663_ITS	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2664_ITS	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2665_ITS	0	1	1	0	0	0	0	0	0	0	0	2	0	2	1	0
OTU_2677_ITS	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_2696_ITS	1	2	2	1	1	2	2	2	2	2	1	2	0	4	3	1
OTU_2715_ITS	19	11	12	8	16	5	7	11	12	4	13	15	8	14	8	9
OTU_2717_ITS	2	1	0	1	0	1	0	0	0	0	1	0	0	1	2	2
OTU_2719_ITS	1	0	1	0	0	0	0	1	0	0	1	0	0	0	2	1
OTU_2729_ITS	3	1	1	4	2	2	3	2	3	2	1	0	2	2	2	3
OTU_2732_ITS	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_2734_ITS	1	1	0	0	1	0	1	0	0	0	1	0	1	1	1	0
OTU_2737_ITS	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_2743_ITS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
