i1	i10	i11	i12	i13	i14	i15	i16	i2	i3	i4	i5	i6	i7	i8	i9
OTU_101587_16S	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_101592_16S	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_101593_16S	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
OTU_101602_16S	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0
OTU_101607_16S	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
OTU_101609_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_101613_16S	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_101615_16S	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
OTU_10162_16S	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_101620_16S	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_101624_16S	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_101627_16S	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_101641_16S	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_101643_16S	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_101645_16S	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_101649_16S	1	0	0	0	2	1	1	0	0	0	0	1	1	0	0	1
OTU_101662_16S	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
OTU_101675_16S	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_101679_16S	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_101681_16S	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_101689_16S	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_101691_16S	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_101694_16S	3	11	5	4	7	6	6	4	7	8	6	3	8	2	5	2
OTU_101699_16S	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	1
OTU_101710_16S	0	0	0	1	0	1	1	2	1	0	1	2	0	0	1	1
OTU_101716_16S	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_101739_16S	1	0	1	1	0	1	1	1	1	0	0	1	0	0	0	1
OTU_101742_16S	0	2	1	2	0	1	1	1	1	2	0	0	2	4	0	1
OTU_10175_16S	1	0	1	0	0	2	0	0	1	4	0	3	0	0	0	0
OTU_101774_16S	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_101782_16S	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_101785_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_101803_16S	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_101806_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
OTU_101813_16S	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_101818_16S	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_101825_16S	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_101832_16S	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_101843_16S	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
OTU_101845_16S	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_101848_16S	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
OTU_101851_16S	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
OTU_101857_16S	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_101870_16S	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_101871_16S	0	1	0	1	0	1	0	0	0	0	0	2	1	0	0	0
OTU_101875_16S	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0
OTU_101896_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_101905_16S	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_10191_16S	2	1	0	0	1	1	1	2	0	2	0	0	1	1	0	0
